id,name,type,description,usage_steps/0,usage_steps/1,usage_steps/2,usage_steps/3,usage_steps/4,safety_precautions/0,safety_precautions/1,maintenance/0,maintenance/1,common_errors/0,common_errors/1,keywords/0,keywords/1,keywords/2,keywords/3,department
medical_laser,Surgical Laser,Surgical,Precision device that uses focused light for cutting or cauterizing tissue.,Configure laser settings.,Wear protective goggles.,Activate and apply to target area.,,,Always wear laser-safe eyewear.,Avoid reflective surfaces.,Clean lens with soft cloth.,Check alignment monthly.,Low intensity: Recalibrate.,Laser drift: Realign.,laser,cautery,cutting,tissue,
aneroid_sphygmomanometer,Manual Blood Pressure Cuff,Diagnostic,Measures blood pressure using inflation bulb and gauge.,Wrap cuff around upper arm.,Inflate with bulb and auscultate with stethoscope.,Read gauge for systolic/diastolic pressure.,,,Do not overinflate.,Ensure proper cuff size.,Check gauge calibration annually.,Inspect tubing for leaks.,Inconsistent readings: Recalibrate.,Leaky bulb: Replace or repair.,blood pressure,bp,manual,diagnosis,
pipette,Laboratory Pipette,Laboratory,Used to transport measured volumes of liquid in lab procedures.,Attach sterile tip.,Draw liquid to set volume.,Dispense into target container.,,,Avoid contamination of tip.,Use gloves when handling samples.,Autoclave as required.,Check volume calibration.,Inaccurate volume: Recalibrate.,Loose tip: Reattach or replace.,liquid,transfer,lab,precision,
biopsy_needle,Biopsy Needle,Diagnostic,Used to extract tissue samples for pathological examination.,Identify and clean biopsy site.,Insert needle under imaging guidance.,Retrieve sample and store properly.,,,Use aseptic technique.,Dispose of needle in sharps container.,Single-use only — no maintenance required.,Store unopened in sterile packs.,Improper angle: Use imaging.,Inadequate sample: Repeat.,tissue,sample,needle,biopsy,
heparin_lock,Heparin Lock (Saline Lock),Infusion,IV access device used for intermittent medication administration or fluid access.,Flush with saline before and after use.,Administer medication through lock.,Secure with cap when not in use.,,,Use aseptic technique.,Avoid occlusion or dislodgement.,Flush every 8–12 hours if unused.,Replace as per hospital protocol.,Blocked line: Flush or replace.,Leakage: Secure connections.,iv,access,lock,heparin,
oxygen_tank,Portable Oxygen Cylinder,Respiratory,Cylinder containing compressed oxygen for emergency or ambulatory use.,Connect regulator and check pressure.,Attach nasal cannula or mask.,Open valve slowly and administer.,,,Keep away from heat or flames.,Secure upright during transport.,Check pressure weekly.,Refill when below threshold.,No flow: Check valve.,Leakage: Tighten fittings.,oxygen,tank,cylinder,emergency,
ophthalmoscope,Ophthalmoscope,Diagnostic,Used to examine the retina and other internal structures of the eye.,Dim room lights.,Shine light into pupil and adjust focus.,Inspect retina and optic disc.,,,Avoid direct prolonged exposure.,Disinfect contact points.,Charge battery regularly.,Clean lens and handle.,No light: Replace bulb or battery.,Blurry image: Clean lens.,eye,retina,inspection,vision,
tourniquet_band,Elastic Tourniquet,Supportive,Elastic strap used to restrict blood flow during venipuncture or intravenous insertion.,Wrap above venipuncture site.,Tighten until vein distends.,Release immediately after blood draw.,,,Do not leave on for more than 1 minute.,Avoid excessive tightness.,Clean with disinfectant if reusable.,Inspect for wear.,Too tight: Loosen promptly.,Elastic lost stretch: Replace.,vein,blood,draw,phlebotomy,
skin_graft_mesher,Skin Graft Mesher,Surgical,Creates mesh pattern in skin grafts to allow expansion and fluid drainage.,Place graft between plates.,Pass through mesher rollers.,Inspect mesh pattern.,,,Handle graft gently.,Sterilize before use.,Clean plates after use.,Inspect rollers regularly.,Graft tear: Adjust mesh settings.,Sticky rollers: Clean.,graft,skin,mesh,burn,
colonoscope,Colonoscope,Diagnostic,Flexible endoscope used for inspecting the colon and rectum.,Insert through anus carefully.,Advance scope under visualization.,Perform biopsy or polyp removal if needed.,,,Use lubrication.,Monitor for patient discomfort.,Clean and disinfect per protocol.,Check for damage to insertion tube.,Poor visibility: Clean lens.,Looping: Adjust advancement.,colonoscopy,endoscopy,gastro,scope,
ecmo_machine,ECMO Machine,Life Support,Extracorporeal membrane oxygenation device for heart and lung support.,Cannulate patient vessel.,Connect tubing and pump.,Monitor oxygenation and flow.,,,Requires trained staff.,Maintain circuit sterility.,Change oxygenator cartridge.,Check tubing for clotting daily.,Pump failure: Replace immediately.,Air embolism: Check for bubbles.,ecmo,heartlung,intensive,support,
infusion_stand,Pole IV Stand,Supportive,Adjustable-height pole used to hang IV bags during fluid administration.,Adjust height appropriately.,Hang IV bags securely.,Ensure drip chamber visible.,,,Lock wheel casters.,Avoid overloading the stand.,Clean pole regularly.,Inspect base stability.,Stand tipping: Adjust legs.,Hook loose: Tighten.,iv,fluid,drip,pole,
dermatome_machine,Powered Dermatome,Surgical,Motorized device that harvests uniform skin grafts.,Set depth and width.,Guide blade across donor site.,Collect graft.,,,Avoid hitting bone.,Keep skin taut.,Sterilize after use.,Check blades before procedure.,Uneven graft: Adjust settings.,Blade jam: Clear debris.,graft,skin,harvest,plastic,
intrauterine_pressure_catheter,IUPC,Diagnostic,Monitors uterine contraction pressure during labor.,Insert catheter into uterus.,Secure externally.,Connect to monitor.,,,Use aseptic technique.,Monitor for infection.,Single-use: Dispose after use.,,No reading: Reposition.,Leakage: Replace catheter.,labor,pressure,monitor,obstetric,
blood_pressure_cuff_pediatric,Pediatric BP Cuff,Diagnostic,Smaller cuff for accurate blood pressure measurement in children.,Select appropriate size.,Wrap cuff snugly around arm.,Measure BP manually or digitally.,,,Do not overtighten.,Choose correct size.,Clean after use.,Check for leaks.,Inaccurate readings: Rehydrate cuff.,Leak: Repair or replace.,child,bp,pediatric,vitals,
heel_lancet,Heel Lancet,Diagnostic,Device used for capillary blood collection from infant heel.,Clean heel area.,Use lancet to puncture skin.,Collect blood in capillary tube.,,,Use single-use lancet.,Apply gentle pressure after.,Sharps: dispose in container.,,Insufficient sample: Puncture deeper.,Excessive bleeding: Apply pressure.,infant,blood,heel,collection,
ct_scanner,CT Scanner,Imaging,Imaging device using X-rays to produce cross-sectional body images.,Position patient on table.,Enter scanning parameters.,Start scan and review images.,,,Use shielding.,Check for contraindications.,Calibrate detectors monthly.,Inspect gantry motion.,Motion artifact: Re-scan.,No image: Check settings.,ct,scan,radiology,imaging,
ecg_electrodes,ECG Electrodes,Consumable,Sticky pads used to measure electrical activity of the heart.,Peel and attach to cleaned skin.,Connect lead wires.,Dispose after single-use.,,,Avoid skin irritation.,Use fresh electrodes.,None — single-use.,,Poor contact: Reattach.,Adhesive failure: Replace.,ecg,leads,cardiac,monitor,
endoscopy_trolley,Endoscopy Trolley,Supportive,Mobile cart containing endoscope and accessories for procedures.,Load scope and processor.,Position near patient.,Power equipment and connect suction.,,,Avoid cable tension.,Stabilize trolley.,Clean surfaces.,Check wheels and cables.,Loose connection: Reconnect.,Overloaded trolley: Redistribute.,endoscopy,scope,cart,procedure,
infusion_pump_syringe,Syringe Infusion Pump,Infusion,Motor-driven pump delivering fluids from a syringe in precise rates.,Load syringe and set parameters.,Start delivery.,Monitor infusion.,,,Verify dosage settings.,Check for occlusions.,Calibrate monthly.,Clean housing regularly.,Occlusion alarm: Clear blockage.,Incorrect rate: Reprogram.,iv,syringe,pump,infusion,
fetal_heart_rate_monitor,Fetal Heart Rate Monitor,Monitoring,Monitors fetal heart rate during labor using Doppler or ultrasound.,Apply gel and place transducer.,Secure with belt.,Read heart rate and contraction data.,,,Use medical-grade gel.,Avoid fetal overheating.,Clean probe.,Check belt integrity.,Faint signal: Reposition probe.,Alarm: Check connection.,labor,fetal,monitor,hipaa,
gait_trainer,Gait Trainer,Rehabilitation,Assists patients learning to walk with adjustable support.,Adjust support frame height.,Position patient within frame.,Guide walking movements.,,,Lock wheels when stationary.,Ensure stable floor.,Clean handles.,Check wheel function.,Wobble: Tighten bolts.,Wheel stuck: Lubricate.,rehab,mobility,walk,physical therapy,
glucose_infusion_set,Glucose Infusion Set,Consumable,Tubing and needle set for delivering dextrose solutions intravenously.,Connect to IV fluid bag.,Insert catheter into vein.,Start infusion.,,,Use aseptic technique.,Verify solution concentration.,Single-use — dispose after use.,,Air bubbles: Prime set fully.,Leaks: Replace set.,iv,glucose,dextrose,consumable,
heat_pack,Reusable Heat Pack,Therapeutic,Reusable gel pack used for local heat therapy.,Heat in microwave per instructions.,Wrap in cloth and apply to area.,Use for prescribed duration.,,,Check temperature before application.,Avoid skin burns.,Inspect for leaks.,Replace if pack ruptures.,No heat: Re-microwave.,Leak: Replace pack.,heat,therapy,pain,reusable,
hydration_station,Oral Hydration Station,Supportive,Provides oral rehydration solutions for patients in wards or clinics.,Prepare solution per protocol.,Provide cup and straw.,Encourage patient to drink.,,,Use correct solution mix.,Clean cups between use.,Replenish supplies daily.,Sanitize station often.,Contamination: Perform cleaning.,Wrong mixture: Check labels.,hydration,oral,dehydration,support,
infection_control_gown,Isolation Gown,Protective,Disposable gown used to protect caregivers from infectious agents.,Wear before entering isolation area.,Tie sleeves and waist securely.,Remove and dispose after use.,,,Do not reuse disposable gown.,Avoid contact with contaminated surfaces.,None — single-use.,,Incorrect sizing: Choose appropriate size.,Leakage: Replace if wet.,ppe,isolation,protective,infection,
intracranial_pressure_monitor,ICP Monitor,Monitoring,Measures pressure within the skull for patients with head injury or ICP concerns.,Insert probe into cranial vault.,Connect to bedside monitor.,Observe real-time pressure readings.,,,Sterile insertion required.,Monitor for infections.,Zero and calibrate as needed.,,No reading: Check connection.,Drift: Rezero instrument.,neurology,head,pressure,monitor,
iv_pole_dual,Dual Hook IV Pole,Supportive,IV stand with dual hooks to hang multiple fluid bags.,Hang two IV bags securely.,Adjust height as needed.,Ensure drip chambers visible.,,,Balance weight distribution.,Lock wheels when not moved.,Clean and inspect hooks.,Check caster function.,Pole wobble: Tighten base.,Hook loose: Adjust screw.,iv,fluid,multiple,drip,
jaw_thrust_device,Jaw Thrust Tool,Emergency,Non-invasive tool used to open airway in an unresponsive patient by lifting the jaw.,Reach behind head and grasp angles of lower jaw.,Lift jaw upwards.,Maintain until airway is secured.,,,Use carefully to avoid cervical spine injury.,Be gentle to avoid dental damage.,Clean and disinfect after use.,,Insufficient lift: Reposition.,Jaw pain: Release gently.,airway,emergency,cpr,firstaid,
knee_rehabilitation_unit,Continuous Passive Motion (CPM) Machine,Rehabilitation,Moves a joint (often knee) through a prescribed range of motion during recovery.,Position leg in device.,Set range and speed.,Start motion and monitor patient.,,,Check alignment before starting.,Avoid overextension.,Clean surfaces.,Lubricate moving parts.,Uncomfortable range: Adjust settings.,No motion: Check power.,rehab,motion,knee,therapy,
portable_ultrasound,Portable Ultrasound,Imaging,Handheld ultrasound device for point-of-care imaging.,Apply gel to the area.,Scan using the handheld probe.,View real-time images on screen.,,,Disinfect probe before and after use.,Do not submerge the device in liquid.,Update software regularly.,Inspect probe for damage.,Poor image quality: Reapply gel.,Device not powering on: Recharge battery.,ultrasound,portable,diagnostic,imaging,
air_displacement_plethysmograph,Bod Pod,Diagnostic,Measures body composition using air displacement.,Instruct patient to wear minimal clothing.,Enter patient into the pod chamber.,Run measurement procedure.,,,Clean chamber between uses.,Ensure patient comfort.,Calibrate weekly.,Clean sensor ports.,Inaccurate readings: Recalibrate.,Door seal leak: Inspect and fix.,body composition,fat,fitness,volume,
laryngoscope,Laryngoscope,Surgical,Used to visualize the vocal cords and facilitate intubation.,Attach blade to handle.,Insert into the mouth gently.,Lift to view vocal cords.,,,Use correct blade size.,Do not force entry.,Disinfect after each use.,Replace bulbs if dim.,Poor lighting: Replace battery or bulb.,Foggy lens: Clean immediately.,intubation,airway,vocal cords,anesthesia,
spirometer,Spirometer,Diagnostic,Measures lung function and airflow.,Instruct patient to inhale and exhale into the device.,Record the volume and rate of airflow.,Repeat as needed.,,,Use disposable mouthpieces.,Avoid contamination.,Calibrate monthly.,Check for sensor blockage.,No airflow detected: Reposition or replace mouthpiece.,Inaccurate values: Recalibrate.,lung,breathing,asthma,copd,
scalp_vein_set,Butterfly Needle,Infusion,Small-winged needle for drawing blood or administering IV fluids.,Insert into vein with wings flat.,Secure wings to skin with tape.,Connect to tubing or syringe.,,,Use aseptic technique.,Dispose in sharps container.,Single-use only.,,Needle dislodged: Reinsert or secure better.,Leakage: Replace set.,blood draw,infusion,needle,phlebotomy,
digital_stethoscope,Digital Stethoscope,Diagnostic,Amplifies and records heart and lung sounds digitally.,Turn on and place on chest.,Listen or record sounds.,Transfer data if needed.,,,Clean diaphragm after use.,Avoid submersion in liquid.,Recharge battery.,Update firmware.,No sound: Check battery.,Static: Clean chestpiece.,auscultation,heart,lung,digital,
wound_vac,Negative Pressure Wound Therapy Device,Therapeutic,Applies vacuum pressure to a wound to promote healing.,Place foam dressing into wound.,Seal with adhesive drape.,Connect tubing and start suction.,,,Monitor wound for infection.,Avoid placing foam on exposed organs.,Change canister regularly.,Check for leaks in seal.,Seal leak: Reapply drape.,No suction: Check tubing.,wound,vacuum,healing,pressure,
surgical_suction_device,Yankauer Suction,Surgical,Rigid suction tip for oral or surgical fluid removal.,Attach to suction tubing.,Insert gently into oral cavity.,Activate suction device.,,,Avoid deep insertion.,Monitor for trauma.,Single-use or disinfect tip.,Check for clogs.,No suction: Check tubing.,Clog: Flush or replace.,oral,suction,surgery,fluid,
sterilization_indicator,Autoclave Indicator Strip,Sterilization,Changes color to confirm exposure to sterilization conditions.,Place inside surgical pack.,Run autoclave cycle.,Verify color change.,,,Use correct type for sterilizer.,Do not reuse.,"Store in dry, sealed container.",,No color change: Repeat cycle.,Wrong strip: Use appropriate one.,sterilization,autoclave,surgery,indicator,
nebulizer,Nebulizer,Respiratory,Converts liquid medicine into mist for inhalation therapy.,Add prescribed medication to chamber.,Connect to mask or mouthpiece.,Start compressor and inhale mist.,,,Clean after each use.,Do not share mouthpieces.,Replace tubing monthly.,Clean chamber thoroughly.,No mist: Check compressor or tubing.,Bubbling: Reconnect components securely.,asthma,inhalation,bronchodilator,mist,
ophthalmoscope,Ophthalmoscope,Diagnostic,"Used to examine the interior of the eye, including the retina.",Turn on light source.,Adjust focus and aperture.,Inspect the patient's retina through the pupil.,,,Avoid direct eye contact with bright light for long periods.,Sanitize between patients.,Clean lens and bulb area.,Replace batteries as needed.,Blurry image: Adjust focus.,Light not working: Replace bulb or battery.,eye,vision,retina,examination,
doppler_fetal_monitor,Handheld Fetal Doppler,Diagnostic,Detects fetal heartbeat using ultrasound technology.,Apply gel to abdomen.,Move probe gently to find heartbeat.,Read heart rate on display.,,,Avoid prolonged usage.,Use medical-grade gel.,Clean probe after each use.,Check battery level regularly.,Weak signal: Reposition probe.,No heartbeat detected: Verify gestational age.,fetal,pregnancy,heartbeat,doppler,
vital_signs_monitor,Vital Signs Monitor,Monitoring,"Measures and displays key physiological parameters such as BP, pulse, and SpO2.",Connect sensors to patient.,Turn on monitor.,Observe readings and alarms.,,,Ensure electrodes and cuffs are properly placed.,Respond promptly to alarms.,Calibrate sensors monthly.,Clean after each use.,No reading: Check connections.,Inaccurate data: Recalibrate or replace sensor.,vital signs,bp,spo2,monitor,
tuning_fork,Tuning Fork,Diagnostic,Used in neurological and auditory testing to assess vibration and hearing.,Strike the fork gently.,Place base on bone (for vibration) or near ear (for hearing).,Ask patient to report sensation.,,,Do not hit on hard surfaces.,Avoid prolonged contact with skin.,Wipe clean after use.,Store in a padded case.,Weak vibration: Replace tuning fork.,Misreading: Repeat test.,vibration,neurology,hearing,fork,
digital_weighing_scale,Digital Weighing Scale,Diagnostic,Measures patient body weight electronically.,Place scale on flat surface.,Have patient step on scale.,Read measurement from display.,,,Ensure scale is stable.,Clean footplate after each use.,Check calibration monthly.,Replace batteries.,Inaccurate reading: Calibrate.,No display: Replace battery.,weight,scale,measurement,body,
digital_reflex_hammer,Digital Reflex Hammer,Diagnostic,Electronic hammer used to assess reflex responses.,Select appropriate mode.,Strike target tendon gently.,Observe and record response.,,,Avoid excessive force.,Clean between uses.,Charge battery or replace.,Check for mechanical wear.,No signal: Recharge battery.,Weak vibration: Calibrate device.,reflex,neurology,motor,hammer,
surgical_headlight,LED Surgical Headlight,Surgical,Head-mounted light source for illumination during surgical procedures.,Wear headlight securely.,Adjust beam direction.,Turn on and begin procedure.,,,Avoid shining directly in eyes.,Check battery level before use.,Clean lens and strap.,Recharge or replace battery.,Flickering: Replace light source.,Unstable fit: Adjust headband.,surgery,light,illumination,headlamp,
penlight,Medical Penlight,Diagnostic,"Compact flashlight used to examine pupils, throat, or wounds.",Turn on the light.,Shine into area being examined.,Observe reaction or details.,,,Do not shine directly into eyes for long.,Disinfect before reuse.,Replace battery.,Clean lens regularly.,No light: Replace battery.,Dim beam: Clean lens or change bulb.,penlight,pupil,eye,flashlight,
pulse_dye_laser,Pulsed Dye Laser,Therapeutic,Laser used for treatment of vascular skin lesions.,Select treatment settings.,Position handpiece on lesion.,Deliver pulses with safety goggles on.,,,Use proper eyewear.,Avoid sun exposure post-treatment.,Clean lens.,Replace dye cartridges when depleted.,No beam: Check dye and power.,Overheating: Pause and cool.,laser,vascular,skin,dermatology,
digital_colposcope,Digital Colposcope,Diagnostic,Magnifies and records images of the cervix for cervical screening.,Position patient and adjust scope.,Apply acetic acid to cervix.,Capture images and examine.,,,Sanitize probe head.,Use light intensity cautiously.,Clean optics regularly.,Update software and firmware.,Blurry image: Focus manually.,Low light: Replace bulb.,cervix,pap smear,gynaecology,screening,
portable_ultrasound,Portable Ultrasound,Imaging,Handheld ultrasound device for point-of-care imaging.,Apply gel to the area.,Scan using the handheld probe.,View real-time images on screen.,,,Disinfect probe before and after use.,Do not submerge the device in liquid.,Update software regularly.,Inspect probe for damage.,Poor image quality: Reapply gel.,Device not powering on: Recharge battery.,ultrasound,portable,diagnostic,imaging,
air_displacement_plethysmograph,Bod Pod,Diagnostic,Measures body composition using air displacement.,Instruct patient to wear minimal clothing.,Enter patient into the pod chamber.,Run measurement procedure.,,,Clean chamber between uses.,Ensure patient comfort.,Calibrate weekly.,Clean sensor ports.,Inaccurate readings: Recalibrate.,Door seal leak: Inspect and fix.,body composition,fat,fitness,volume,
laryngoscope,Laryngoscope,Surgical,Used to visualize the vocal cords and facilitate intubation.,Attach blade to handle.,Insert into the mouth gently.,Lift to view vocal cords.,,,Use correct blade size.,Do not force entry.,Disinfect after each use.,Replace bulbs if dim.,Poor lighting: Replace battery or bulb.,Foggy lens: Clean immediately.,intubation,airway,vocal cords,anesthesia,
spirometer,Spirometer,Diagnostic,Measures lung function and airflow.,Instruct patient to inhale and exhale into the device.,Record the volume and rate of airflow.,Repeat as needed.,,,Use disposable mouthpieces.,Avoid contamination.,Calibrate monthly.,Check for sensor blockage.,No airflow detected: Reposition or replace mouthpiece.,Inaccurate values: Recalibrate.,lung,breathing,asthma,copd,
scalp_vein_set,Butterfly Needle,Infusion,Small-winged needle for drawing blood or administering IV fluids.,Insert into vein with wings flat.,Secure wings to skin with tape.,Connect to tubing or syringe.,,,Use aseptic technique.,Dispose in sharps container.,Single-use only.,,Needle dislodged: Reinsert or secure better.,Leakage: Replace set.,blood draw,infusion,needle,phlebotomy,
digital_stethoscope,Digital Stethoscope,Diagnostic,Amplifies and records heart and lung sounds digitally.,Turn on and place on chest.,Listen or record sounds.,Transfer data if needed.,,,Clean diaphragm after use.,Avoid submersion in liquid.,Recharge battery.,Update firmware.,No sound: Check battery.,Static: Clean chestpiece.,auscultation,heart,lung,digital,
wound_vac,Negative Pressure Wound Therapy Device,Therapeutic,Applies vacuum pressure to a wound to promote healing.,Place foam dressing into wound.,Seal with adhesive drape.,Connect tubing and start suction.,,,Monitor wound for infection.,Avoid placing foam on exposed organs.,Change canister regularly.,Check for leaks in seal.,Seal leak: Reapply drape.,No suction: Check tubing.,wound,vacuum,healing,pressure,
surgical_suction_device,Yankauer Suction,Surgical,Rigid suction tip for oral or surgical fluid removal.,Attach to suction tubing.,Insert gently into oral cavity.,Activate suction device.,,,Avoid deep insertion.,Monitor for trauma.,Single-use or disinfect tip.,Check for clogs.,No suction: Check tubing.,Clog: Flush or replace.,oral,suction,surgery,fluid,
sterilization_indicator,Autoclave Indicator Strip,Sterilization,Changes color to confirm exposure to sterilization conditions.,Place inside surgical pack.,Run autoclave cycle.,Verify color change.,,,Use correct type for sterilizer.,Do not reuse.,"Store in dry, sealed container.",,No color change: Repeat cycle.,Wrong strip: Use appropriate one.,sterilization,autoclave,surgery,indicator,
nebulizer,Nebulizer,Respiratory,Converts liquid medicine into mist for inhalation therapy.,Add prescribed medication to chamber.,Connect to mask or mouthpiece.,Start compressor and inhale mist.,,,Clean after each use.,Do not share mouthpieces.,Replace tubing monthly.,Clean chamber thoroughly.,No mist: Check compressor or tubing.,Bubbling: Reconnect components securely.,asthma,inhalation,bronchodilator,mist,
ophthalmoscope,Ophthalmoscope,Diagnostic,"Used to examine the interior of the eye, including the retina.",Turn on light source.,Adjust focus and aperture.,Inspect the patient's retina through the pupil.,,,Avoid direct eye contact with bright light for long periods.,Sanitize between patients.,Clean lens and bulb area.,Replace batteries as needed.,Blurry image: Adjust focus.,Light not working: Replace bulb or battery.,eye,vision,retina,examination,
doppler_fetal_monitor,Handheld Fetal Doppler,Diagnostic,Detects fetal heartbeat using ultrasound technology.,Apply gel to abdomen.,Move probe gently to find heartbeat.,Read heart rate on display.,,,Avoid prolonged usage.,Use medical-grade gel.,Clean probe after each use.,Check battery level regularly.,Weak signal: Reposition probe.,No heartbeat detected: Verify gestational age.,fetal,pregnancy,heartbeat,doppler,
vital_signs_monitor,Vital Signs Monitor,Monitoring,"Measures and displays key physiological parameters such as BP, pulse, and SpO2.",Connect sensors to patient.,Turn on monitor.,Observe readings and alarms.,,,Ensure electrodes and cuffs are properly placed.,Respond promptly to alarms.,Calibrate sensors monthly.,Clean after each use.,No reading: Check connections.,Inaccurate data: Recalibrate or replace sensor.,vital signs,bp,spo2,monitor,
tuning_fork,Tuning Fork,Diagnostic,Used in neurological and auditory testing to assess vibration and hearing.,Strike the fork gently.,Place base on bone (for vibration) or near ear (for hearing).,Ask patient to report sensation.,,,Do not hit on hard surfaces.,Avoid prolonged contact with skin.,Wipe clean after use.,Store in a padded case.,Weak vibration: Replace tuning fork.,Misreading: Repeat test.,vibration,neurology,hearing,fork,
digital_weighing_scale,Digital Weighing Scale,Diagnostic,Measures patient body weight electronically.,Place scale on flat surface.,Have patient step on scale.,Read measurement from display.,,,Ensure scale is stable.,Clean footplate after each use.,Check calibration monthly.,Replace batteries.,Inaccurate reading: Calibrate.,No display: Replace battery.,weight,scale,measurement,body,
digital_reflex_hammer,Digital Reflex Hammer,Diagnostic,Electronic hammer used to assess reflex responses.,Select appropriate mode.,Strike target tendon gently.,Observe and record response.,,,Avoid excessive force.,Clean between uses.,Charge battery or replace.,Check for mechanical wear.,No signal: Recharge battery.,Weak vibration: Calibrate device.,reflex,neurology,motor,hammer,
surgical_headlight,LED Surgical Headlight,Surgical,Head-mounted light source for illumination during surgical procedures.,Wear headlight securely.,Adjust beam direction.,Turn on and begin procedure.,,,Avoid shining directly in eyes.,Check battery level before use.,Clean lens and strap.,Recharge or replace battery.,Flickering: Replace light source.,Unstable fit: Adjust headband.,surgery,light,illumination,headlamp,
penlight,Medical Penlight,Diagnostic,"Compact flashlight used to examine pupils, throat, or wounds.",Turn on the light.,Shine into area being examined.,Observe reaction or details.,,,Do not shine directly into eyes for long.,Disinfect before reuse.,Replace battery.,Clean lens regularly.,No light: Replace battery.,Dim beam: Clean lens or change bulb.,penlight,pupil,eye,flashlight,
pulse_dye_laser,Pulsed Dye Laser,Therapeutic,Laser used for treatment of vascular skin lesions.,Select treatment settings.,Position handpiece on lesion.,Deliver pulses with safety goggles on.,,,Use proper eyewear.,Avoid sun exposure post-treatment.,Clean lens.,Replace dye cartridges when depleted.,No beam: Check dye and power.,Overheating: Pause and cool.,laser,vascular,skin,dermatology,
digital_colposcope,Digital Colposcope,Diagnostic,Magnifies and records images of the cervix for cervical screening.,Position patient and adjust scope.,Apply acetic acid to cervix.,Capture images and examine.,,,Sanitize probe head.,Use light intensity cautiously.,Clean optics regularly.,Update software and firmware.,Blurry image: Focus manually.,Low light: Replace bulb.,cervix,pap smear,gynaecology,screening,
surgical_glue,Surgical Glue,Surgical,Used to close wounds without sutures by bonding skin edges together.,Clean wound area thoroughly.,Apply a thin layer of glue to wound edges.,Hold wound edges together for 30–60 seconds.,,,Do not apply inside wound.,Avoid contact with eyes.,"Store in cool, dry environment.",Seal after each use to prevent drying.,Poor adhesion: Reapply or clean area again.,Skin irritation: Discontinue use.,adhesive,closure,wound,glue,
infant_incubator,Infant Incubator,Neonatal,Provides a controlled environment for premature or ill newborns.,Place infant inside incubator.,Adjust temperature and humidity settings.,Monitor vitals via sensors.,,,Ensure proper ventilation.,Avoid overheating.,Disinfect after each patient.,Calibrate temperature sensors weekly.,Temperature fluctuation: Check settings.,Alarm error: Restart system.,neonatal,premature,infant,warming,
nasogastric_tube,Nasogastric Tube,Therapeutic,Used for feeding or drainage through the nose into the stomach.,Measure appropriate length.,Lubricate and insert through nostril.,Secure and verify placement.,,,Verify placement before use.,Use gentle technique to avoid trauma.,Flush regularly with sterile water.,Replace per protocol (every 7–14 days).,Improper placement: Confirm with X-ray.,Blockage: Flush or replace.,feeding,gastric,tube,enteral,
hearing_aid,Hearing Aid,Assistive,Amplifies sound for individuals with hearing loss.,Insert device into ear canal.,Adjust volume or mode if needed.,Monitor battery or charge level.,,,Avoid moisture exposure.,Do not insert forcefully.,Clean earpiece daily.,Replace batteries weekly.,Distorted sound: Clean microphone.,Dead unit: Replace battery.,hearing,amplifier,assistive,ear,
emergency_crash_cart,Crash Cart,Emergency,A mobile unit containing emergency resuscitation equipment and drugs.,Open cart and access required equipment.,"Use defibrillator, drugs, or airway tools as needed.",Document usage and restock.,,,Keep cart locked and sealed.,Perform daily checks.,Restock after every use.,Check expiry dates monthly.,Missing items: Verify checklist.,Expired medication: Replace immediately.,resuscitation,defibrillator,emergency,drugs,
otoscope,Otoscope,Diagnostic,Used to examine the ear canal and eardrum.,Turn on the light.,Gently pull ear upward and back.,Insert otoscope and inspect ear canal.,,,Use disposable specula.,Insert carefully to avoid trauma.,Clean lens and handle.,Replace batteries or bulbs.,Dim light: Replace bulb.,Obstructed view: Clean lens.,ear,tympanic,inspection,otoscope,
defibrillator_pads,AED Pads,Emergency,Adhesive electrode pads for use with defibrillators.,Expose patient chest.,Apply pads as indicated on diagram.,Connect to AED and follow prompts.,,,Avoid wet skin.,Ensure no contact during shock.,Check expiry date.,Seal properly after packing.,Poor adhesion: Replace pad.,Error message: Reconnect.,aed,shock,pads,electrode,
biopsy_needle,Core Biopsy Needle,Diagnostic,Used to extract tissue samples for histological analysis.,Sterilize area and insert needle.,Trigger spring-loaded mechanism.,Withdraw with tissue sample.,,,Use ultrasound or imaging guidance.,Handle with care to avoid contamination.,Single-use item.,Dispose in sharps container.,Insufficient tissue: Reinsert or reposition.,Clotting: Use anticoagulant flush.,biopsy,needle,tissue,sample,
knee_brace,Orthopedic Knee Brace,Rehabilitative,Supports and stabilizes the knee joint during recovery or strain.,Align brace with knee cap.,Secure straps evenly.,Adjust tightness as needed.,,,Do not over-tighten.,Remove for skin inspection daily.,Wash fabric components regularly.,Check for worn-out Velcro.,Slipping: Refit or tighten.,Discomfort: Reposition brace.,orthopedic,knee,support,rehabilitation,
lead_apron,Lead Apron,Protective,Protects patients and staff from X-ray radiation exposure.,Place over chest and abdomen.,Ensure full coverage.,Secure around neck and waist.,,,Inspect for cracks or tears.,Do not fold sharply.,Store flat or hang properly.,Wipe clean after use.,Radiation leak: Replace damaged apron.,Improper storage: Causes creases or tears.,radiation,x-ray,protective,apron,
